"goods-title-link--jump","goods-title-link--jump href","rank-title","rank-sub","price","selling_proposition","discount","goods-title-link"
"Customized Personalized Heart-Shaped Lace Name Necklace - Perfect For Mother's Day, Valentine's Day, Birthday, Anniversary, Graduation, Christmas, Family And High-End Gift For Friends And Classmates","https://us.shein.com/Customized-Personalized-Heart-Shaped-Lace-Name-Necklace-Perfect-For-Mother-s-Day-Valentine-s-Day-Birthday-Anniversary-Graduation-Christmas-Family-And-High-End-Gift-For-Friends-And-Classmates-p-32334912.html?src_identifier=fc%3DJewelry%20%26%20Accessories%60sc%3DJewelry%20%26%20Accessories%60tc%3D0%60oc%3D0%60ps%3Dtab11navbar11%60jc%3DitemPicking_017291431&src_module=topcat&src_tab_page_id=page_select_class1718918252315&mallCode=1&pageListType=2","#3 Best Sellers","in Customized Fashion Word Necklaces","$6.40","","",""
"24pcs/Set Simple Heart, Butterfly, Flower, Rhinestone & Faux Pearl Stud Earring Set For Women As A Gift For Dating/Vacation","https://us.shein.com/24pcs-Set-Simple-Heart-Butterfly-Flower-Rhinestone-Faux-Pearl-Stud-Earring-Set-For-Women-As-A-Gift-For-Dating-Vacation-p-28046124.html?src_identifier=fc%3DJewelry%20%26%20Accessories%60sc%3DJewelry%20%26%20Accessories%60tc%3D0%60oc%3D0%60ps%3Dtab11navbar11%60jc%3DitemPicking_017291431&src_module=topcat&src_tab_page_id=page_select_class1718918252315&mallCode=1&pageListType=2","","","$2.10","7.2k+ sold recently","",""
"A Multi-Functional Electronic Watch With 1.44"""" Touch Screen, Designed For Female Students With Its Pink Silicone Strap, Equipped With Various Sports Modes, Camera Control, Social Software Message Reminders, Suitable For Gifting, Sports, And School Scenarios.","https://us.shein.com/A-Multi-Functional-Electronic-Watch-With-1-44-Touch-Screen-Designed-For-Female-Students-With-Its-Pink-Silicone-Strap-Equipped-With-Various-Sports-Modes-Camera-Control-Social-Software-Message-Reminders-Suitable-For-Gifting-Sports-And-School-Scenarios-p-32324547.html?src_identifier=fc%3DJewelry%20%26%20Accessories%60sc%3DJewelry%20%26%20Accessories%60tc%3D0%60oc%3D0%60ps%3Dtab11navbar11%60jc%3DitemPicking_017291431&src_module=topcat&src_tab_page_id=page_select_class1718918252315&mallCode=1&pageListType=2","#7 Best Sellers","in Women Digital Watches","$8.20","","-10%",""
"91pcs/Set Fashionable Elegant Vintage Multi-Element Metal Jewelry Set Including Necklace, Earrings, Ring And Bracelet With Heart, Butterfly, Star, Geometric, Faux Pearl, Bead, Flower And Leaf Design Perfect For Holidays, Parties, Dates And Daily Wear (Without Box)","https://us.shein.com/91pcs-Set-Fashionable-Elegant-Vintage-Multi-Element-Metal-Jewelry-Set-Including-Necklace-Earrings-Ring-And-Bracelet-With-Heart-Butterfly-Star-Geometric-Faux-Pearl-Bead-Flower-And-Leaf-Design-Perfect-For-Holidays-Parties-Dates-And-Daily-Wear-Without-Box-p-34391405.html?src_identifier=fc%3DJewelry%20%26%20Accessories%60sc%3DJewelry%20%26%20Accessories%60tc%3D0%60oc%3D0%60ps%3Dtab11navbar11%60jc%3DitemPicking_017291431&src_module=topcat&src_tab_page_id=page_select_class1718918252315&mallCode=1&pageListType=2","#9 Best Sellers","in Women Jewelry Sets","$1.50","","",""
"Multi-pack Random Mix-color Popular Bohemian Rainbow Acrylic Beads Chain Body Jewelry Belly Chain For Women, Gift","https://us.shein.com/Multi-pack-Random-Mix-color-Popular-Bohemian-Rainbow-Acrylic-Beads-Chain-Body-Jewelry-Belly-Chain-For-Women-Gift-p-23727638.html?src_identifier=fc%3DJewelry%20%26%20Accessories%60sc%3DJewelry%20%26%20Accessories%60tc%3D0%60oc%3D0%60ps%3Dtab11navbar11%60jc%3DitemPicking_017291431&src_module=topcat&src_tab_page_id=page_select_class1718918252315&mallCode=1&pageListType=2","","","$1.10","7.4k+ sold recently","",""
"4pcs Flower Hair Claw Clips-4PCS For Thick Hair,Strong Hold Nonslip,Hawaiian,Cute Large Hair Clips,Banana Clip For Thin Hair,Hair Accessories For Women Girls Holiday Gifts","https://us.shein.com/4pcs-Flower-Hair-Claw-Clips-4PCS-For-Thick-Hair-Strong-Hold-Nonslip-Hawaiian-Cute-Large-Hair-Clips-Banana-Clip-For-Thin-Hair-Hair-Accessories-For-Women-Girls-Holiday-Gifts-p-35836559.html?src_identifier=fc%3DJewelry%20%26%20Accessories%60sc%3DJewelry%20%26%20Accessories%60tc%3D0%60oc%3D0%60ps%3Dtab11navbar11%60jc%3DitemPicking_017291431&src_module=topcat&src_tab_page_id=page_select_class1718918252315&mallCode=1&pageListType=2","#10 Best Sellers","in Women Hair Accessories","$3.00","","-9%",""
"Rhinestone Decor Heart & Key Charm Bracelet","https://us.shein.com/Rhinestone-Decor-Heart-Key-Charm-Bracelet-p-14471399.html?src_identifier=fc%3DJewelry%20%26%20Accessories%60sc%3DJewelry%20%26%20Accessories%60tc%3D0%60oc%3D0%60ps%3Dtab11navbar11%60jc%3DitemPicking_017291431&src_module=topcat&src_tab_page_id=page_select_class1718918252315&mallCode=1&pageListType=2","#3 Best Sellers","in Women Chain Bracelets","$2.70","","",""
"1PC Bubble Letter Necklace Balloon Initial Necklaces for Women Delicate Alphabet Pendant Inflated Name Personalised Jewellery Gift","https://us.shein.com/1PC-Bubble-Letter-Necklace-Balloon-Initial-Necklaces-for-Women-Delicate-Alphabet-Pendant-Inflated-Name-Personalised-Jewellery-Gift-p-26002997.html?src_identifier=fc%3DJewelry%20%26%20Accessories%60sc%3DJewelry%20%26%20Accessories%60tc%3D0%60oc%3D0%60ps%3Dtab11navbar11%60jc%3DitemPicking_017291431&src_module=topcat&src_tab_page_id=page_select_class1718918252315&mallCode=1&pageListType=2","#1 Best Sellers","in Women Pendant Necklaces","$2.80","","",""
"1pair Large Frame Woman Multicolor Star Y2K UV Protection Ladies Sunglasses, Sporty Sun Shades Fashion Glasses,Fashion  Eyewear With Bohemian Style,Suitable For Parties And Trips  Summer,Beach Accessories","https://us.shein.com/1pair-Large-Frame-Woman-Multicolor-Star-Y2K-UV-Protection-Ladies-Sunglasses-Sporty-Sun-Shades-Fashion-Glasses-Fashion-Eyewear-With-Bohemian-Style-Suitable-For-Parties-And-Trips-Summer-Beach-Accessories-p-25318566.html?src_identifier=fc%3DJewelry%20%26%20Accessories%60sc%3DJewelry%20%26%20Accessories%60tc%3D0%60oc%3D0%60ps%3Dtab11navbar11%60jc%3DitemPicking_017291431&src_module=topcat&src_tab_page_id=page_select_class1718918252315&mallCode=1&pageListType=2","#9 Best Seller","in Boho Women Fashion Glasses","$3.40","","-8%",""
"1pair Exaggerated European & American Style Metal Flower Stud Earrings For Women's Daily Wear","https://us.shein.com/1pair-Exaggerated-European-American-Style-Metal-Flower-Stud-Earrings-For-Women-s-Daily-Wear-p-23840232.html?src_identifier=fc%3DJewelry%20%26%20Accessories%60sc%3DJewelry%20%26%20Accessories%60tc%3D0%60oc%3D0%60ps%3Dtab11navbar11%60jc%3DitemPicking_017291431&src_module=topcat&src_tab_page_id=page_select_class1718918252315&mallCode=1&pageListType=2","#1 Best Sellers","in Women Stud Earrings","$1.40","","",""
