"color-count","goods-title-link--jump","goods-title-link--jump href","rank-title","rank-sub","price","discount","selling_proposition","goods-title-link"
"9","SHEIN Teen Girl Knitted Ribbed Pleated T-Shirt And Accordion Pocket Casual Long Pants Set","https://us.shein.com/SHEIN-Teen-Girl-Knitted-Ribbed-Pleated-T-Shirt-And-Accordion-Pocket-Casual-Long-Pants-Set-p-33489107.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2","#5 Best Sellers","in Teen Girls Sets","$15.80","-13%","",""
"14","SHEIN Tween Girl Solid Tank Top & Knot Waist Shorts","https://us.shein.com/SHEIN-Tween-Girl-Solid-Tank-Top-Knot-Waist-Shorts-p-14246189.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2","","","$7.40","-13%","8.2k+ sold recently",""
"5","SHEIN Young Girl Butterfly & Letter Graphic Tee & Shorts","https://us.shein.com/SHEIN-Young-Girl-Butterfly-Letter-Graphic-Tee-Shorts-p-18401531.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2","","","$4.54","-45%","3.6k+ sold recently",""
"","SHEIN Teen Girl White Knitted Pintuck Fitted Bandeau Cami Top","https://us.shein.com/SHEIN-Teen-Girl-White-Knitted-Pintuck-Fitted-Bandeau-Cami-Top-p-34790698.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2","#5 Best Sellers","in Teen Girls Tank Tops & Camis","$4.70","-11%","",""
"7","Young Girl Casual Loose Fit Simple Camouflage Print Multi-Pocket Denim Skirt","https://us.shein.com/Young-Girl-Casual-Loose-Fit-Simple-Camouflage-Print-Multi-Pocket-Denim-Skirt-p-27084269.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2","#8 Best Sellers","in Young Girls Denim","$9.70","-14%","",""
"7","SHEIN Young Boy Letter Graphic Striped Trim Baseball Collar Shirt & Shorts Without Tee","https://us.shein.com/SHEIN-Young-Boy-Letter-Graphic-Striped-Trim-Baseball-Collar-Shirt-Shorts-Without-Tee-p-24387660.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2","","","$11.10","-15%","7.6k+ sold recently",""
"10","Young Girl Casual Basic Street Fashion Romper , Pack Of 3","https://us.shein.com/Young-Girl-Casual-Basic-Street-Fashion-Romper-Pack-Of-3-p-30509243.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2","#6 Best Sellers","in Young Girls Bodysuits & Jumpsuits","$11.90","-15%","",""
"","Baby Bath Toy Yellow Duck Shower Spray Toy For Boys, Girls, Children's Pool Swimming Water Play","https://us.shein.com/Baby-Bath-Toy-Yellow-Duck-Shower-Spray-Toy-For-Boys-Girls-Children-s-Pool-Swimming-Water-Play-p-28904903.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2","#3 Best Sellers","in Kids Play Animal Figures","$0.64","-62%","",""
"4","SHEIN Tween Girls' Woven Solid Color Camisole Top & Wide Leg Pants Set For Casual Wear","https://us.shein.com/SHEIN-Tween-Girls-Woven-Solid-Color-Camisole-Top-Wide-Leg-Pants-Set-For-Casual-Wear-p-28325902.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2","","","$8.72","-15%","1.5k+ sold recently",""
"","SHEIN Tween Boy Paisley Print Drawstring Waist Shorts","https://us.shein.com/SHEIN-Tween-Boy-Paisley-Print-Drawstring-Waist-Shorts-p-10245158.html?src_identifier=fc%3DKids%60sc%3DKids%60tc%3D0%60oc%3D0%60ps%3Dtab05navbar05%60jc%3DitemPicking_017185550&src_module=topcat&src_tab_page_id=page_select_class1718911041796&mallCode=1&pageListType=2","#2 Best Sellers","in Tween Boys Shorts","$7.33","-15%","",""
