"color-count","goods-title-link--jump","goods-title-link--jump href","rank-title","rank-sub","price","discount","selling_proposition","goods-title-link"
"18","Korean Style Casual Flat Sandals Women Shoes, Outdoor Wear, Open Toe, Spring Summer New Woven Roman Beach Sandals, Fashionable French Flats For Women With Skirts When Going Out To The Beach Or Apartment, White, Flat, One-Strap, Beige, Black, Orange, White, Yellow, Purple, Grey, Gold, Silver, Blue, Green, Rose Red, Brown, French Leopard Print, Formal Shoes, Holiday Sandals, Bohemian Style Toe Beach Navy Blue Walking Shoes, Crystal Shoes For Women, Cute Flat Loafers, Flat Sandals With Thick Soles, Tie-Up, Shiny Glittering, Mule Shoes, Slippers","https://us.shein.com/Korean-Style-Casual-Flat-Sandals-Women-Shoes-Outdoor-Wear-Open-Toe-Spring-Summer-New-Woven-Roman-Beach-Sandals-Fashionable-French-Flats-For-Women-With-Skirts-When-Going-Out-To-The-Beach-Or-Apartment-White-Flat-One-Strap-Beige-Black-Orange-White-Yellow-Purple-Grey-Gold-Silver-Blue-Green-Rose-Red-Brown-French-Leopard-Print-Formal-Shoes-Holiday-Sandals-Bohemian-Style-Toe-Beach-Navy-Blue-Walking-Shoes-Crystal-Shoes-For-Women-Cute-Flat-Loafers-Flat-Sandals-With-Thick-Soles-Tie-Up-Shiny-Glittering-Mule-Shoes-Slippers-p-34474517.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2","#1 Best Seller","In Beige Women Sandals","$5.25","-50%","",""
"8","Sports Shoes, Street Sports Shoes, Men's And Women's Sports Shoes, Couple Shoes","https://us.shein.com/Sports-Shoes-Street-Sports-Shoes-Men-s-And-Women-s-Sports-Shoes-Couple-Shoes-p-34766886.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2","#1 Best Seller","In Black and White Men Sneakers","$88.70","-24%","",""
"4","New Style Plush Slippers With Toe, Thick Sole Slides That Can Be Worn Outdoors, Indoor Cozy Shoes For Autumn And Winter","https://us.shein.com/New-Style-Plush-Slippers-With-Toe-Thick-Sole-Slides-That-Can-Be-Worn-Outdoors-Indoor-Cozy-Shoes-For-Autumn-And-Winter-p-33197353.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2","#1 Best Seller","In Hot Pink Women Home Slippers","$52.70","-21%","",""
"5","New Arrival Women's Pointed Toe Shallow Mouth High Heels With Thin Heels And Decorative Buckle","https://us.shein.com/New-Arrival-Women-s-Pointed-Toe-Shallow-Mouth-High-Heels-With-Thin-Heels-And-Decorative-Buckle-p-35142979.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2","#2 Best Seller","In Blue Women Pumps","$22.40","-19%","",""
"","Summer Men's Casual Slippers, Trendy Slippers Couples' Soft-Bottom Sports Sandals","https://us.shein.com/Summer-Men-s-Casual-Slippers-Trendy-Slippers-Couples-Soft-Bottom-Sports-Sandals-p-31670882.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2","#5 Best Seller","In Beige Men Shoes","$3.16","-63%","",""
"","Wide Fit Women's Popular Snake Print Square Toe Flat Sandals, Summer Holiday Style Black Slippers","https://us.shein.com/Wide-Fit-Women-s-Popular-Snake-Print-Square-Toe-Flat-Sandals-Summer-Holiday-Style-Black-Slippers-p-36413671.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2","#6 Best Sellers","in Flat Wide Fit Sandals","$9.60","-16%","",""
"5","SHUZIA Women's Fashionable And Versatile Flat Sandals","https://us.shein.com/SHUZIA-Women-s-Fashionable-And-Versatile-Flat-Sandals-p-24875720.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2","#1 Best Seller","In Camel Women Flat Sandals","$14.00","","",""
"","1 Pair Of Korean Style Women's Fashion New Casual Sneakers","https://us.shein.com/1-Pair-Of-Korean-Style-Women-s-Fashion-New-Casual-Sneakers-p-20775490.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2","","","$14.00","-55%","10+ sold recently",""
"","CUCCOO BASICS Chain Decor Flat Loafers Vacation Shoes Summer Sale","https://us.shein.com/CUCCOO-BASICS-Chain-Decor-Flat-Loafers-Vacation-Shoes-Summer-Sale-p-10300861.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2","","","$6.40","-68%","30+ sold recently",""
"","Unisex Beach Shoes, Water Shoes, Fitness Shoes, Five-Finger Swimming Shoes, Outdoor Wading Shoes For Couples","https://us.shein.com/Unisex-Beach-Shoes-Water-Shoes-Fitness-Shoes-Five-Finger-Swimming-Shoes-Outdoor-Wading-Shoes-For-Couples-p-34116831.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2","#7 Best Sellers","in Women Water Shoes","$11.63","-25%","",""
