"color-count","goods-title-link--jump","goods-title-link--jump href","price","rank-title","rank-sub","discount","goods-title-link"
"6","European And American Sexy V-neck Black And White Splice One-piece Swimsuit","https://us.shein.com/European-And-American-Sexy-V-neck-Black-And-White-Splice-One-piece-Swimsuit-p-25121554.html?src_identifier=fc%3DAll%60sc%3DBeachwear%60tc%3DBeach%20Holiday%60oc%3DView%20All%60ps%3Dtab00navbar04menu01dir01%60jc%3DitemPicking_0021160127&src_module=topcat&src_tab_page_id=page_select_class1718909190267&mallCode=1&pageListType=2","$14.39","","","",""
"6","SHEIN Swim Summer Beach Women's Floral Print Neck-Tie Halter Bikini Set With Random Flower Print For Vacation","https://us.shein.com/SHEIN-Swim-Summer-Beach-Women-s-Floral-Print-Neck-Tie-Halter-Bikini-Set-With-Random-Flower-Print-For-Vacation-p-32185593.html?src_identifier=fc%3DAll%60sc%3DBeachwear%60tc%3DBeach%20Holiday%60oc%3DView%20All%60ps%3Dtab00navbar04menu01dir01%60jc%3DitemPicking_0021160127&src_module=topcat&src_tab_page_id=page_select_class1718909190267&mallCode=1&pageListType=2","$8.69","#1 Best Sellers","in Women Bikini Sets","-7%",""
"14","SHEIN Swim Summer Beach Women's Floral Printed Halter Neck Swimsuit Set Carnival","https://us.shein.com/SHEIN-Swim-Summer-Beach-Women-s-Floral-Printed-Halter-Neck-Swimsuit-Set-Carnival-p-26653455.html?src_identifier=fc%3DAll%60sc%3DBeachwear%60tc%3DBeach%20Holiday%60oc%3DView%20All%60ps%3Dtab00navbar04menu01dir01%60jc%3DitemPicking_0021160127&src_module=topcat&src_tab_page_id=page_select_class1718909190267&mallCode=1&pageListType=2","$8.73","#1 Best Seller","In Boho Women Beachwear","-13%",""
"","SHEIN Swim Women's Ditsy Floral Sexy Bikini Set For Beach Vacation, Two Pieces,Summer Beach","https://us.shein.com/SHEIN-Swim-Women-s-Ditsy-Floral-Sexy-Bikini-Set-For-Beach-Vacation-Two-Pieces-Summer-Beach-p-34639512.html?src_identifier=fc%3DAll%60sc%3DBeachwear%60tc%3DBeach%20Holiday%60oc%3DView%20All%60ps%3Dtab00navbar04menu01dir01%60jc%3DitemPicking_0021160127&src_module=topcat&src_tab_page_id=page_select_class1718909190267&mallCode=1&pageListType=2","$11.19","","","-7%",""
"4","SHEIN Swim Summer Beach Women's Solid Color Halter Neck Bra & Swim Bottom Swimsuit Set Bathing Suit","https://us.shein.com/SHEIN-Swim-Summer-Beach-Women-s-Solid-Color-Halter-Neck-Bra-Swim-Bottom-Swimsuit-Set-Bathing-Suit-p-31241577.html?src_identifier=fc%3DAll%60sc%3DBeachwear%60tc%3DBeach%20Holiday%60oc%3DView%20All%60ps%3Dtab00navbar04menu01dir01%60jc%3DitemPicking_0021160127&src_module=topcat&src_tab_page_id=page_select_class1718909190267&mallCode=1&pageListType=2","$9.79","#4 Best Seller","In Sexy Women Apparel","-8%",""
"","European And American Style Printed Low Waist Bikini Set","https://us.shein.com/European-And-American-Style-Printed-Low-Waist-Bikini-Set-p-22060489.html?src_identifier=fc%3DAll%60sc%3DBeachwear%60tc%3DBeach%20Holiday%60oc%3DView%20All%60ps%3Dtab00navbar04menu01dir01%60jc%3DitemPicking_0021160127&src_module=topcat&src_tab_page_id=page_select_class1718909190267&mallCode=1&pageListType=2","$10.69","#5 Best Seller","In Boho Women Clothing","",""
"17","SHEIN X Hangout Fest SHEIN VCAY Summer Beach Hollow Out Drawstring Waist Cover Up Shorts","https://us.shein.com/SHEIN-X-Hangout-Fest-SHEIN-VCAY-Summer-Beach-Hollow-Out-Drawstring-Waist-Cover-Up-Shorts-p-13057998.html?src_identifier=fc%3DAll%60sc%3DBeachwear%60tc%3DBeach%20Holiday%60oc%3DView%20All%60ps%3Dtab00navbar04menu01dir01%60jc%3DitemPicking_0021160127&src_module=topcat&src_tab_page_id=page_select_class1718909190267&mallCode=1&pageListType=2","$7.97","#3 Best Seller","In White Women Apparel","-11%",""
"6","SHEIN Swim Mod Summer Beach Random Printed Side Knot Bikini Set","https://us.shein.com/SHEIN-Swim-Mod-Summer-Beach-Random-Printed-Side-Knot-Bikini-Set-p-29091440.html?src_identifier=fc%3DAll%60sc%3DBeachwear%60tc%3DBeach%20Holiday%60oc%3DView%20All%60ps%3Dtab00navbar04menu01dir01%60jc%3DitemPicking_0021160127&src_module=topcat&src_tab_page_id=page_select_class1718909190267&mallCode=1&pageListType=2","$11.11","#7 Best Sellers","in Women Bikini Sets","-12%",""
"11","SHEIN Swim Summer Beach Ring Linked Bandeau Bikini Set","https://us.shein.com/SHEIN-Swim-Summer-Beach-Ring-Linked-Bandeau-Bikini-Set-p-18187598.html?src_identifier=fc%3DAll%60sc%3DBeachwear%60tc%3DBeach%20Holiday%60oc%3DView%20All%60ps%3Dtab00navbar04menu01dir01%60jc%3DitemPicking_0021160127&src_module=topcat&src_tab_page_id=page_select_class1718909190267&mallCode=1&pageListType=2","$9.49","#7 Best Sellers","in Women's Blue Bras","-8%",""
"12","New Arrival Cute Toweling Halter Neck Backless Strap Bikini Set For Summer Beach","https://us.shein.com/New-Arrival-Cute-Toweling-Halter-Neck-Backless-Strap-Bikini-Set-For-Summer-Beach-p-32537091.html?src_identifier=fc%3DAll%60sc%3DBeachwear%60tc%3DBeach%20Holiday%60oc%3DView%20All%60ps%3Dtab00navbar04menu01dir01%60jc%3DitemPicking_0021160127&src_module=topcat&src_tab_page_id=page_select_class1718909190267&mallCode=1&pageListType=2","$9.39","#4 Best Seller","In Sexy Women Beachwear","",""
